"Project.ID","School.ID","Teacher.ID","Teacher.Project.Posted.Sequence","Project.Type","Project.Title","Project.Subject.Category.Tree","Project.Subject.Subcategory.Tree","Project.Grade.Level.Category","Project.Resource.Category","Project.Cost","Project.Posted.Date","Project.Current.Status","Project.Fully.Funded.Date"
"9cfecb007ae99b36901b88fe3deffbb9","00100ceb5adae22eb6f42ce13155f59c","ae68f0bb041fe9c86b71d4638fdd9a26","1","Teacher-Led","I Can Learn!","Literacy & Language, Special Needs","Literacy, Special Needs","Grades 3-5","Technology","$843.02","2013-10-31","Fully Funded","2014-01-09"
"2e58a4162a856072699407df430c14b2","00340a547d7fdfeca3052e846494c4f6","b60ca4c2e6a0aeb74d928d3125f5c6c2","1","Teacher-Led","Everything Water!","Math & Science, Literacy & Language","Environmental Science, Literacy","Grades 6-8","Supplies","$235.00","2013-11-01","Fully Funded","2013-11-04"
"3ba3a757aa668f9ddedfe2f68d2b5b62","001f5cac2eff62e8a4ac8e70a72d010a","72fadce7295c464f464bb882bc523d32","1","Teacher-Led","Next Stop - The World! Using Computers to Connect our Globe","Literacy & Language, History & Civics","Literature & Writing, Social Sciences","Grades 6-8","Technology","$412.60","2013-11-02","Fully Funded","2013-11-20"
"ceeac0c3dd0627dab6d3292d6dede61d","00064eac8b3d1f6dea8a07559922ed58","4b7b895a8580ea19839d2cb758626081","1","Teacher-Led","Personalizing Education through Technology","Math & Science","Mathematics","Grades 9-12","Technology","$902.48","2014-03-06","Fully Funded","2014-03-26"
"6865cc39024c179846786422e223a9e3","002775859958c4781d5b24aff76c3505","6921ef8ba1e4c15c6302b0d5d790aa84","10","Teacher-Led","Technology Needed for the Next Generation","Literacy & Language, Math & Science","Literacy, Mathematics","Grades PreK-2","Technology","$601.79","2014-04-08","Expired",""
"39e767b254761dd3a3e951cd2402964b","00064eac8b3d1f6dea8a07559922ed58","66fabd822fab92a07aaeccfaec8cedcc","1","Teacher-Led","Week Without Walls","Math & Science","Applied Sciences","Grades 9-12","Supplies","$756.68","2014-04-12","Fully Funded","2014-05-01"
"8641a0397e404e6a72227722dd2284d3","001f5cac2eff62e8a4ac8e70a72d010a","fc83ee467b672afbd5a3e537328f610b","1","Teacher-Led","Jump Start Our Students' Lead to Literacy","Literacy & Language","Literacy, Literature & Writing","Grades 6-8","Books","$924.92","2014-06-24","Fully Funded","2014-08-23"
"40c97f12766d227a405c9ab7cfb21e8b","001f5cac2eff62e8a4ac8e70a72d010a","1c085f809fc05d6e2b612b9ecbadafbc","4","Teacher-Led","Student Leaders Learning Leadership","Applied Learning","Character Education, Community Service","Grades 6-8","Books","$560.38","2014-07-01","Fully Funded","2014-08-22"
"706e909c2172119ba402febf77d96ad6","002775859958c4781d5b24aff76c3505","6af225ea8682d0976fc491cd40b35f45","4","Teacher-Led","Let's Go Wireless!","Applied Learning","Other","Grades PreK-2","Technology","$254.62","2014-08-09","Fully Funded","2014-12-04"
"9c855fc61b64b638d5b9162947d4bb5f","001f5cac2eff62e8a4ac8e70a72d010a","f9aeaece72692b241e0102aed63545d9","7","Teacher-Led","Lab Supplies for Learning Scientists!","Math & Science","Applied Sciences, Health & Life Science","Grades 6-8","Supplies","$544.34","2014-08-15","Fully Funded","2014-08-23"
"81edf4a5d9f73c7f8ad7e83aa3cea42a","00340a547d7fdfeca3052e846494c4f6","aeddc168c208e159af797bcd52434d00","5","Teacher-Led","The Latest Edition:  Printmaking!","Music & The Arts","Visual Arts","Grades 6-8","Supplies","$1,845.84","2014-09-06","Fully Funded","2014-12-03"
"a8f3b28e7920c266271d97b8dba4fbbc","001f5cac2eff62e8a4ac8e70a72d010a","f9aeaece72692b241e0102aed63545d9","8","Teacher-Led","Media for Maturing Minds","Math & Science","Applied Sciences","Grades 6-8","Technology","$199.04","2014-09-13","Fully Funded","2014-09-21"
"5e42edd46a016d94711de127625f56b5","0013a562a6af65ff472558d5ac6d462d","ad8a1cf0cb96b5271f978da4874fc41e","2","Teacher-Led","Take Your Heart Out, Please!","Math & Science","Applied Sciences, Health & Life Science","Grades 6-8","Supplies","$771.47","2014-09-18","Fully Funded","2014-12-19"
"d12401a6de5083bd110b15fa35ebce1c","002775859958c4781d5b24aff76c3505","6921ef8ba1e4c15c6302b0d5d790aa84","11","Teacher-Led","Need New Technology","Literacy & Language, Math & Science","Literacy, Mathematics","Grades PreK-2","Technology","$425.81","2014-09-26","Expired",""
"d78201e846222ef3db79ca021585db1e","00340a547d7fdfeca3052e846494c4f6","2fa1b1d054dcb54b6369e930ad0d6a0a","6","Teacher-Led","Reading, Writing, & Talking About Our World","History & Civics, Literacy & Language","History & Geography, Literature & Writing","Grades 6-8","Other","$481.91","2014-10-01","Fully Funded","2014-10-01"
"0f97ab422d56289ae77e589ffad85d06","00064eac8b3d1f6dea8a07559922ed58","4b7b895a8580ea19839d2cb758626081","2","Teacher-Led","Dynamic Public Data Displays","Math & Science","Mathematics","Grades 9-12","Technology","$2,387.81","2014-10-08","Expired",""
"d4d7fd36f19497bdf6219a7dd898b6da","0033d3e34f8e6d753f897dc9e2e623a4","786bf314cb85b1dba67f6abe84d3c753","3","Teacher-Led","Better Learning With Puzzles","Literacy & Language, Math & Science","Literacy, Mathematics","Grades PreK-2","Other","$385.45","2015-01-11","Fully Funded","2015-02-19"
"9556e2f3a87fcde20cde6257c890f078","0033d3e34f8e6d753f897dc9e2e623a4","c8165e6eb2e80b4d619f94e2d207175d","3","Teacher-Led","Reading Creates New Adventures","Literacy & Language","Literacy","Grades PreK-2","Technology","$444.64","2015-01-12","Expired",""
"c0dbf48e1d7bad0ffc1e975901ff0faf","0033d3e34f8e6d753f897dc9e2e623a4","c8165e6eb2e80b4d619f94e2d207175d","5","Teacher-Led","Math Matters to Preschoolers","Math & Science","Mathematics","Grades PreK-2","Other","$466.04","2015-01-12","Expired",""
"6f52aa92ac815e759850d530dcf3724c","0033d3e34f8e6d753f897dc9e2e623a4","c8165e6eb2e80b4d619f94e2d207175d","4","Teacher-Led","Discovering The World Around Us","Math & Science","Health & Life Science","Grades PreK-2","Other","$482.41","2015-01-12","Expired",""
"cc197d97b09f9bec3c333922f77f83cc","0033d3e34f8e6d753f897dc9e2e623a4","42b99d96fa4480327d6fcc7838bf195b","2","Teacher-Led","Ready, Play, Learn!","Applied Learning","Early Development","Grades PreK-2","Other","$202.44","2015-01-22","Fully Funded","2015-02-26"
"a81873b980e771acc2713d7f965b0b71","00340a547d7fdfeca3052e846494c4f6","2fa1b1d054dcb54b6369e930ad0d6a0a","7","Teacher-Led","Gameshow Style Learning","History & Civics, Literacy & Language","History & Geography, Literacy","Grades 6-8","Technology","$318.64","2015-02-18","Fully Funded","2015-02-18"
"9c5433997d0bf0736ccd87fb32bb026e","00064eac8b3d1f6dea8a07559922ed58","47b65ae3b07a1812f55d8ecf8bb0cbe7","1","Teacher-Led","Navigating Life Through Literature","Literacy & Language","Literacy","Grades 9-12","Books","$241.56","2015-07-03","Fully Funded","2015-07-07"
"1c02db2fae18b7708d7e302a6b9e2924","001f5cac2eff62e8a4ac8e70a72d010a","fc83ee467b672afbd5a3e537328f610b","4","Teacher-Led","Connect Students to Reading Success!","Literacy & Language","Literacy","Grades 6-8","Technology","$294.34","2015-08-15","Fully Funded","2015-08-22"
"587f0c96d417f952c3f43647178f79bc","001f5cac2eff62e8a4ac8e70a72d010a","fc83ee467b672afbd5a3e537328f610b","3","Teacher-Led","Literature Circles to Foster Collaborative Discussions","Literacy & Language","Literacy, Literature & Writing","Grades 6-8","Books","$335.88","2015-08-15","Fully Funded","2015-08-22"
"3007be49cb36fededc7c02a811fc2a97","000ef91ec1409e4e04f4fca354614919","e9106cb4ee351f2d497edee46229bdb0","2","Teacher-Led","Book Trailers and Broadcasts","Literacy & Language","Literature & Writing","Grades 6-8","Technology","$835.15","2015-08-23","Fully Funded","2015-08-30"
"010d7e81cfd8c3166de260386400f83d","002775859958c4781d5b24aff76c3505","8d9cac81c6f05c0aeabb0d768bfa0831","6","Teacher-Led","Recorders are Really Rad","Music & The Arts","Performing Arts","Grades 3-5","Other","$483.82","2015-09-07","Fully Funded","2015-11-06"
"226aedf7da6b8276b88f9965bf1218ae","00340a547d7fdfeca3052e846494c4f6","2fa1b1d054dcb54b6369e930ad0d6a0a","8","Teacher-Led","Just the Facts, Ma'am","History & Civics, Literacy & Language","History & Geography, Literature & Writing","Grades 6-8","Books","$488.96","2015-09-15","Fully Funded","2015-09-17"
"af9755270628292981637690f59ac483","001f5cac2eff62e8a4ac8e70a72d010a","2c132764b62281114de3f7cb0a74f909","4","Teacher-Led","Small Group-Work Chromebook Computers!","Literacy & Language, History & Civics","Literature & Writing, Social Sciences","Grades 6-8","Technology","$1,331.85","2015-09-20","Expired",""
"a1828c0cdd8740c0052949876d306b56","002775859958c4781d5b24aff76c3505","6921ef8ba1e4c15c6302b0d5d790aa84","13","Teacher-Led","Need Storage Unit for New Math","Math & Science","Mathematics","Grades PreK-2","Other","$294.34","2015-09-27","Fully Funded","2015-11-04"
"fdec764b65819b904f165c662cdb9159","001f5cac2eff62e8a4ac8e70a72d010a","7b9f69d6686d1fcc0b68dc737a07a2eb","5","Teacher-Led","Help Us Build a Science Library!","Math & Science","Environmental Science, Health & Life Science","Grades 6-8","Books","$409.75","2015-09-28","Fully Funded","2015-10-05"
"e0e8e61699cbf97cacbc0a3497a960aa","00340a547d7fdfeca3052e846494c4f6","428dd770321bd2e497bbdde2a111beb1","1","Teacher-Led","Civil War Day","History & Civics","History & Geography, Social Sciences","Grades 6-8","Visitors","$3,864.82","2015-10-21","Expired",""
"2a1bca5b6a96c9ae3b80b6205a12f355","00100ceb5adae22eb6f42ce13155f59c","de333db9a7d488ca50ed0ab6dc3757e7","1","Teacher-Led","Leveled Library for Literacy Loving First Graders","Literacy & Language","Literacy","Grades PreK-2","Books","$1,385.24","2015-11-23","Fully Funded","2016-03-09"
"7fa125c60127449e85853c26623c3e7d","001f5cac2eff62e8a4ac8e70a72d010a","bafc1f5de228c3056f74443fef28b419","1","Teacher-Led","Help Build our Science Library","Math & Science","Environmental Science, Health & Life Science","Grades 6-8","Books","$333.51","2015-12-15","Fully Funded","2015-12-17"
"a25bd7064504906f4ccc254d7854ddc4","001f5cac2eff62e8a4ac8e70a72d010a","1754813207d1237203372d9da5d3fe45","1","Teacher-Led","Awesome Word Wall","Math & Science","Mathematics","Grades 6-8","Other","$216.15","2015-12-28","Fully Funded","2015-12-30"
"ab79d200f66ec6b0ec0e3ccf5baaf23d","00100ceb5adae22eb6f42ce13155f59c","4887884c4e72f823ba2296413c14aa75","1","Teacher-Led","We Dig Down Dog!","Health & Sports","Gym & Fitness, Health & Wellness","Grades 3-5","Other","$720.92","2016-02-03","Fully Funded","2016-03-09"
"202e0e5b5537ed672240e43a7d2977e7","00100ceb5adae22eb6f42ce13155f59c","96045d039b0330b880a9f566c4a0f279","1","Teacher-Led","Using LEARNSTORM to Differenciate in Math","Literacy & Language, Math & Science","Literature & Writing, Mathematics","Grades 3-5","Technology","$5,769.58","2016-02-13","Fully Funded","2016-03-09"
"02e87becdc16c92f6cef989323e683bf","002775859958c4781d5b24aff76c3505","6921ef8ba1e4c15c6302b0d5d790aa84","14","Teacher-Led","Tech. School Needs Charging Station for Laptops","Literacy & Language, Math & Science","Literacy, Mathematics","Grades PreK-2","Technology","$306.31","2016-03-10","Fully Funded","2016-03-11"
"4f4c638830ebb6d612c7e7cf29100e5e","002775859958c4781d5b24aff76c3505","6921ef8ba1e4c15c6302b0d5d790aa84","16","Teacher-Led","New Tech. Elementary School Needs More Technology!","Literacy & Language, Math & Science","Literacy, Mathematics","Grades PreK-2","Technology","$750.60","2016-03-14","Expired",""
"f0340bf17d30f413c2e65e9b9b7e6802","0013a562a6af65ff472558d5ac6d462d","3c5b525bc83f6ac642c11ac2be863277","1","Teacher-Led","Student Computer","Literacy & Language","ESL, Literacy","Grades PreK-2","Technology","$831.94","2016-03-20","Expired",""
"d6450ad111a9d818b78ddc33dc742c5a","00100ceb5adae22eb6f42ce13155f59c","96045d039b0330b880a9f566c4a0f279","2","Teacher-Led","Integrating Curriculum and the Use of Technology","Math & Science, History & Civics","Mathematics, Social Sciences","Grades 6-8","Technology","$5,891.61","2016-04-19","Fully Funded","2016-06-07"
"3c31cd8561b2baac293b63eaaef19491","002775859958c4781d5b24aff76c3505","fdff57cfc014072a999eddb09ad38baf","3","Teacher-Led","Keep My Attention Through Movement!","Health & Sports, Literacy & Language","Health & Wellness, Literature & Writing","Grades PreK-2","Supplies","$788.98","2016-08-04","Fully Funded","2016-09-06"
"8c16da10ca275e34c022ca12310348c3","000a21e544223a6cf1f3a79136275584","93b3324a1d3ad44402bfee70760f3cbd","1","Teacher-Led","Theatrical Make-Up Design Class Supplies.","Music & The Arts","Performing Arts, Visual Arts","Grades 9-12","Supplies","$1,342.08","2016-08-20","Expired",""
"8e6a0bce43cb7a9330cf416ca79c38f7","000a21e544223a6cf1f3a79136275584","9e772b411eaac61b3541faedde6387ef","5","Teacher-Led","New Parts for Aging Piano Lab","Music & The Arts","Music","Grades 9-12","Technology","$492.79","2016-08-24","Fully Funded","2016-08-25"
"97ce49c224a5c10b55f3a957a5af6680","00340a547d7fdfeca3052e846494c4f6","2fa1b1d054dcb54b6369e930ad0d6a0a","10","Teacher-Led","Challenging Reading for the Real World","History & Civics, Literacy & Language","History & Geography, Literacy","Grades 6-8","Technology","$646.11","2016-09-02","Fully Funded","2016-10-06"
"7dbe207c15b50bb511d6cc6edda3d709","000a21e544223a6cf1f3a79136275584","cbcb449ca62d67440bbd8e42f273be66","1","Teacher-Led","Relief Print Making for 200+!","Music & The Arts","Visual Arts","Grades 9-12","Supplies","$217.28","2016-09-18","Fully Funded","2016-10-15"
"0089118ee1816d34fd680c8b12e0d31a","001f5cac2eff62e8a4ac8e70a72d010a","7b9f69d6686d1fcc0b68dc737a07a2eb","8","Teacher-Led","Science in Colors!","Math & Science","Applied Sciences, Environmental Science","Grades 6-8","Supplies","$547.66","2016-09-19","Fully Funded","2016-09-25"
"13c67d14dfc18b9e0c2190953e744859","000a21e544223a6cf1f3a79136275584","c7899891ade147e9c2d3c6e0414cd3ca","1","Teacher-Led","Hear Me!","Music & The Arts","Music, Performing Arts","Grades 9-12","Technology","$1,506.26","2016-10-28","Fully Funded","2017-01-02"
"52500fa4139bdcfddceb233d59511c61","00340a547d7fdfeca3052e846494c4f6","2d840b3429e538b2b6e5343f6e3873eb","3","Teacher-Led","Let's Get Creative - Video Style","Music & The Arts","Performing Arts","Grades 6-8","Technology","$530.12","2017-02-19","Fully Funded","2017-03-17"
"8f68098a22d704ea1f7c1a54caa52d48","00340a547d7fdfeca3052e846494c4f6","2d840b3429e538b2b6e5343f6e3873eb","4","Teacher-Led","Let's Keep It Green!","Math & Science","Applied Sciences","Grades 6-8","Supplies","$425.69","2017-02-22","Fully Funded","2017-06-13"
"0b23de4d66610072169d6f7b611062b5","001f5cac2eff62e8a4ac8e70a72d010a","9bef8d6e73d66b1fe61668e1ccaad003","1","Teacher-Led","Chromebooks for Special Day Class","Literacy & Language, Special Needs","Literature & Writing, Special Needs","Grades 6-8","Technology","$1,784.24","2017-06-08","Expired",""
"5798a42b72f56058e381179b22f07da5","00100ceb5adae22eb6f42ce13155f59c","4887884c4e72f823ba2296413c14aa75","3","Teacher-Led","Hooray for Hands-On Learning! Full STEAM Ahead","Math & Science","Applied Sciences, Mathematics","Grades PreK-2","Supplies","$710.61","2017-07-20","Expired",""
"0528a9e32895c53b900611bedf7460e6","000a21e544223a6cf1f3a79136275584","c7899891ade147e9c2d3c6e0414cd3ca","2","Teacher-Led","We Need More Boom","Music & The Arts","Performing Arts","Grades 9-12","Supplies","$1,499.42","2017-07-31","Fully Funded","2017-08-08"
"851832793f5163ff859551255edb88fa","000a21e544223a6cf1f3a79136275584","c7899891ade147e9c2d3c6e0414cd3ca","3","Teacher-Led","Key(board)s for Success","Music & The Arts","Music, Performing Arts","Grades 9-12","Technology","$998.58","2017-08-08","Archived",""
"0e95b30cf0655719d457edef220ef8d3","002775859958c4781d5b24aff76c3505","ad237083a4fcc5c28bd838b89876427e","1","Teacher-Led","Fossil Fun Finds","Math & Science","Environmental Science, Health & Life Science","Grades 3-5","Supplies","$954.39","2017-09-07","Fully Funded","2017-09-22"
"371aa57e7d5f9be9f57fe74792388b0e","002775859958c4781d5b24aff76c3505","ad237083a4fcc5c28bd838b89876427e","2","Teacher-Led","Make Something Extraordinary","Math & Science","Applied Sciences","Grades 3-5","Supplies","$548.18","2017-09-07","Expired",""
"11e8521327fdb4b3743b433950eb17bf","000a21e544223a6cf1f3a79136275584","c7899891ade147e9c2d3c6e0414cd3ca","5","Teacher-Led","Starting Music Technology","Music & The Arts","Music, Performing Arts","Grades 9-12","Musical Instruments","$424.52","2018-01-01","Fully Funded","2018-03-27"
"cd8dc0c2195bad41caa03074a7669ead","000ef91ec1409e4e04f4fca354614919","f4645184592da6a4025f6e089b880cd1","1","Teacher-Led","Painting Props and Projects For Plays and Personal Development","Music & The Arts","Performing Arts, Visual Arts","Grades 6-8","Art Supplies","$182.96","2018-01-19","Fully Funded","2018-03-27"
"7f5d40e0216ea7455010f787d40622a9","00100ceb5adae22eb6f42ce13155f59c","968aeb59e8e5c825016c25351d80bf89","1","Teacher-Led","You Must SEE to Learn! ","Literacy & Language, Math & Science","Literacy, Mathematics","Grades 6-8","Instructional Technology","$973.84","2018-01-19","Fully Funded","2018-01-23"
"ff2f9c5e29bedcb453e7cd7dc1d189a5","00340a547d7fdfeca3052e846494c4f6","2d840b3429e538b2b6e5343f6e3873eb","7","Teacher-Led","Hands-on Technology","Math & Science, Applied Learning","Applied Sciences, College & Career Prep","Grades 6-8","Lab Equipment","$595.81","2018-02-02","Fully Funded","2018-02-02"
"ff598eaba48606b9b0dd37ec6708ed3e","002775859958c4781d5b24aff76c3505","ad237083a4fcc5c28bd838b89876427e","4","Teacher-Led","Hands-on Coding","Math & Science","Applied Sciences, Mathematics","Grades 3-5","Books","$701.99","2018-04-13","Live",""
"a2df915217fcfea7fadd7c0fa5fda91d","0013a562a6af65ff472558d5ac6d462d","3c5b525bc83f6ac642c11ac2be863277","2","Teacher-Led","Future Scientists","Math & Science","Applied Sciences, Mathematics","Grades PreK-2","Educational Kits & Games","$562.44","2018-04-21","Live",""
"b95e16667f7d3b35aefe1dd3a35757e0","00340a547d7fdfeca3052e846494c4f6","2d840b3429e538b2b6e5343f6e3873eb","9","Teacher-Led","Teach Responsibility with Storage","Math & Science, Applied Learning","Applied Sciences, College & Career Prep","Grades 6-8","Books","$2,088.26","2018-04-26","Live",""
